production_countries,id,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0,177572,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,359410,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,564,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,337404,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,1175942,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1007734,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,567609,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,429617,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,77338,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,912649,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,14160,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,58,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,588228,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1022787,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1242332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,646380,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,10195,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,505642,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,949,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,297762,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,72105,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,4247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6312,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,539972,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
